node1,node2,relationship_type,weight
user::pratheesh_harish,user::sarath_kumar_s,co_reviewed_user,1.0
user::rijas_galleria,user::sarath_kumar_s,co_reviewed_user,1.0
user::rijas_galleria,user::akhil_raj,co_reviewed_user,1.0
user::rijas_galleria,user::muhassin_ps,co_reviewed_user,1.0
user::rijas_galleria,user::nithin_sasikumar,co_reviewed_user,1.0
user::rijas_galleria,user::solo_traveller,co_reviewed_user,1.0
user::rijas_galleria,user::nadarajan_muthukumarasamy,co_reviewed_user,1.0
user::rijas_galleria,user::ramakrishnan_v,co_reviewed_user,1.0
user::rijas_galleria,user::sethu_m,co_reviewed_user,1.0
user::rijas_galleria,user::adv_deepi_ashok,co_reviewed_user,1.0
user::rijas_galleria,user::g_p_suresh_gopal_cabs_ngl,co_reviewed_user,1.0
user::rijas_galleria,user::rajiv_kumar_velsamy,co_reviewed_user,1.0
user::rijas_galleria,user::we_make_the_impossible_things,co_reviewed_user,1.0
user::sarath_kumar_s,user::anu,co_reviewed_user,1.0
user::sarath_kumar_s,user::g_t_g,co_reviewed_user,1.0
user::sarath_kumar_s,user::ganesh_m,co_reviewed_user,1.0
user::sarath_kumar_s,user::abey_johnsen,co_reviewed_user,1.0
user::sarath_kumar_s,user::parvathy_r,co_reviewed_user,1.0
user::sarath_kumar_s,user::sajikumar_js,co_reviewed_user,1.0
user::sarath_kumar_s,user::sreehari_s,co_reviewed_user,1.0
user::kannan_ramachandran,user::ramchandar_umasankar,co_reviewed_user,1.0
user::kannan_ramachandran,user::smruthi_vinayak_rengan,co_reviewed_user,1.0
user::kannan_ramachandran,user::srivenkatbabu_sinnasami,co_reviewed_user,1.0
user::kannan_ramachandran,user::starlet_esther,co_reviewed_user,1.0
user::ramchandar_umasankar,user::smruthi_vinayak_rengan,co_reviewed_user,1.0
user::ramchandar_umasankar,user::srivenkatbabu_sinnasami,co_reviewed_user,1.0
user::ramchandar_umasankar,user::starlet_esther,co_reviewed_user,1.0
user::smruthi_vinayak_rengan,user::srivenkatbabu_sinnasami,co_reviewed_user,1.0
user::smruthi_vinayak_rengan,user::starlet_esther,co_reviewed_user,1.0
user::srivenkatbabu_sinnasami,user::starlet_esther,co_reviewed_user,1.0
user::srivenkatbabu_sinnasami,user::kumaresan_lakshmanan,co_reviewed_user,1.0
user::srivenkatbabu_sinnasami,user::shyam_sundar,co_reviewed_user,1.0
user::srivenkatbabu_sinnasami,user::vinoth_kumar,co_reviewed_user,1.0
