node,graph_name,node_type,place_id,label,category,rating,total_user_ratings,formatted_address,taluk,micro_region
place::ChIJp799eI9HBDsR3P-8VWdE1GY,place_network,place,ChIJp799eI9HBDsR3P-8VWdE1GY,Manimutharu WaterFalls,tourist_attraction,4.6,1784,"JC96+JWX, Manimuthar to Manjolai Road, Singampatti Zamindar Forest, Tamil Nadu 627421, India",Tenkasi,Tenkasi
place::ChIJ4_X9FJh9BjsR_17bRtA6rsQ,place_network,place,ChIJ4_X9FJh9BjsR_17bRtA6rsQ,Kumbhavurutty Falls,tourist_attraction,4.4,1371,"35MF+R4C, Aruvappulam, Kerala 689691, India",Tenkasi,Tenkasi
place::ChIJLXq4koaBBjsRPotpsyTXmss,place_network,place,ChIJLXq4koaBBjsRPotpsyTXmss,Shenkottai Bus Stand,travel_agency,3.6,1324,"Shenkottai, Tamil Nadu 627809, India",Shenkottai,Shenkottai
place::ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,place_network,place,ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,Tiger Falls,tourist_attraction,4.1,1285,"W7GH+R7H, Courtallam, Tamil Nadu 627802, India",Tenkasi,Tenkasi
place::ChIJWcTJw2E4BDsRSCgWFmBhTmA,place_network,place,ChIJWcTJw2E4BDsRSCgWFmBhTmA,Manimutharu Dam Outlet,water_park,4.4,1101,"JCWF+38F, Dam, Manimutharu, Singampatti Zamindar Forest, Tamil Nadu 627421, India",Tenkasi,Tenkasi
place::ChIJyynNh8AqBDsRiwzRqzGp6EU,place_network,place,ChIJyynNh8AqBDsRiwzRqzGp6EU,Gundaru Dam,lake,4.5,1016,"Gundaru Dam, Tamil Nadu 627809",Tenkasi,Tenkasi
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,place_network,place,ChIJx3oBXj-HBjsRE_nhoTDm7QE,Erumai Chavadi Waterfalls,tourist_attraction,4.2,948,"Sivam Falls River, Puliyarai R.F. Part, Tamil Nadu 627807, India",Tenkasi,Tenkasi
place::ChIJdS50RessBDsRIrl0s_laps0,place_network,place,ChIJdS50RessBDsRIrl0s_laps0,Shendurney Wildlife Sanctuary,nature_preserve,4.4,938,"Shendurney Wild life division, Thenmala, V659+42J, 691308, India",Tenkasi,Tenkasi
place::ChIJmx_yi8kHBzsR2s_M3Lsl5qY,place_network,place,ChIJmx_yi8kHBzsR2s_M3Lsl5qY,Amappara,tourist_attraction,4.6,932,"Path,, R68M+JP5, Ramakkalmedu, Kerala 685552, India",Tenkasi,Tenkasi
place::ChIJTw4-HQspBDsRxSA2_-hlNbo,place_network,place,ChIJTw4-HQspBDsRxSA2_-hlNbo,Thrill Park,adventure_sports_center,4.9,923,"2/243, Sillaraipuravu, Ambai to Tenkasi Main Road, Mathalamparai, Tenkasi, Sillaraipuravu, Tamil Nadu 627814, India",Tenkasi,Tenkasi
