node,graph_name,node_type,place_id,label,category,rating,total_user_ratings
place::ChIJx3oBXj-HBjsRE_nhoTDm7QE,user_place_bipartite,place,ChIJx3oBXj-HBjsRE_nhoTDm7QE,Erumai Chavadi Waterfalls,tourist_attraction,4.2,948.0
place::ChIJdS50RessBDsRIrl0s_laps0,user_place_bipartite,place,ChIJdS50RessBDsRIrl0s_laps0,Shendurney Wildlife Sanctuary,nature_preserve,4.4,938.0
place::ChIJmx_yi8kHBzsR2s_M3Lsl5qY,user_place_bipartite,place,ChIJmx_yi8kHBzsR2s_M3Lsl5qY,Amappara,tourist_attraction,4.6,932.0
place::ChIJTw4-HQspBDsRxSA2_-hlNbo,user_place_bipartite,place,ChIJTw4-HQspBDsRxSA2_-hlNbo,Thrill Park,adventure_sports_center,4.9,923.0
place::ChIJITuH6jEoBDsRU0_yLDXVRqo,user_place_bipartite,place,ChIJITuH6jEoBDsRU0_yLDXVRqo,Anniyan Parai View Point,tourist_attraction,4.3,903.0
place::ChIJER8LMBfVBTsR75-rEdGnPi4,user_place_bipartite,place,ChIJER8LMBfVBTsR75-rEdGnPi4,Rajathottam view Point,nature_preserve,4.6,782.0
place::ChIJWf8oCTHWBTsRPiZtpzQjC0Q,user_place_bipartite,place,ChIJWf8oCTHWBTsRPiZtpzQjC0Q,Pallamvetty Saddle Dam,tourist_attraction,4.2,750.0
place::ChIJmUq4_BaHBjsR_okcte-TvjE,user_place_bipartite,place,ChIJmUq4_BaHBjsR_okcte-TvjE,Mekkarai Amusement Park,amusement_park,4.6,731.0
place::ChIJ-9OaB36dBjsRlaENbL5P1ko,user_place_bipartite,place,ChIJ-9OaB36dBjsRlaENbL5P1ko,Surandai market,market,4.2,703.0
place::ChIJA771Nu19BjsRu-mZnMyN80c,user_place_bipartite,place,ChIJA771Nu19BjsRu-mZnMyN80c,Manalar Waterfalls(achankoil),tourist_attraction,4.4,658.0
place::ChIJ_9tz5U4qBDsRge10f2JIiNM,user_place_bipartite,place,ChIJ_9tz5U4qBDsRge10f2JIiNM,Boat House - Courtallam குற்றாலம் படகு குழாம்,tourist_attraction,4.0,588.0
place::ChIJKxkbwjYqBDsRm9JusPV_SjQ,user_place_bipartite,place,ChIJKxkbwjYqBDsRm9JusPV_SjQ,Chitraruvi,tourist_attraction,4.4,540.0
place::ChIJrZudDynWBTsRgmRjpkW8rxI,user_place_bipartite,place,ChIJrZudDynWBTsRgmRjpkW8rxI,Thenmala Dam Bridge,bridge,4.4,510.0
place::ChIJ8cPCGwr1BjsR4eqs0jIFZmY,user_place_bipartite,place,ChIJ8cPCGwr1BjsR4eqs0jIFZmY,Ranni Forest Division,nature_preserve,4.4,485.0
place::ChIJH0lvh7pfBDsR4JZ68aVoA5A,user_place_bipartite,place,ChIJH0lvh7pfBDsR4JZ68aVoA5A,Kuthara Paanjan Waterfalls,tourist_attraction,4.4,405.0
place::ChIJYYLr_vB_BjsRgDn7xtJVMDQ,user_place_bipartite,place,ChIJYYLr_vB_BjsRgDn7xtJVMDQ,Kottavasal View Point,tourist_attraction,4.4,388.0
place::ChIJGdrFgPSFBjsRhm_nL3wfsO8,user_place_bipartite,place,ChIJGdrFgPSFBjsRhm_nL3wfsO8,Kadayanallur Karuppanadhi Dam,tourist_attraction,4.4,372.0
place::ChIJ2TouncYpBDsRX7hAWeaci8A,user_place_bipartite,place,ChIJ2TouncYpBDsRX7hAWeaci8A,"St. Michael's Shrine, Tenkasi",church,4.5,354.0
place::ChIJu6_7thuBBjsRVg9YNd4l0is,user_place_bipartite,place,ChIJu6_7thuBBjsRVg9YNd4l0is,Panpoli Park,park,3.9,352.0
