:START_ID(Place),:END_ID(Place),weight,:TYPE
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJR_7XweMrBDsR-Deh8t3QKaE,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJRYY_rQGBBjsRFzW_3wD1zIc,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJZ-zxuGY9BDsRrMy860z5NG8,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJK0NZsjHWBTsRmQc2zfFZbdw,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ03S4wKcqBDsR8SJ8qShQuVA,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJjU74dBhdBDsRI5lqEHTos7M,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ6595L7OPBjsRpsrMEvpp2oM,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJNTlP4oYvBDsRzFjXuufmSLA,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJxQpqzU5_BjsRqcYtZsnj2bA,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ55TLRMQpBDsR2NtNHVFpAbA,3.35,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ_TQF9R4VBDsRrCuTbflWOow,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJdxLncnIpBDsRVTR-LGvw5IE,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJdXZuOVN1BDsRo4MXhjggCPw,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJl59G2XAvBDsRItkS__oPRJw,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ681py5edBjsRbgFCDabz7qc,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJNd6V4hQpBDsRdin5ED4v_gk,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJa2HAxYaBBjsRLEYXjUoKnoo,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ-a4Fh485BDsReE8HkiZ5qBg,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJWRNsgJU3BDsRSULsvBpnuQs,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJQ96D1M8rBDsRqt6w84FGNmw,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJHfKoNpbtBjsRbySESoZ8Eqc,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJn6PVEciBBjsRUaH9qRKGb0A,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJW6hgB1-DBjsRtONaTppN-qM,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJq6raASnWBTsRg6MRD__traA,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJzToWHj8pBDsRNvVdi62xu1g,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ4_gKm7MrBDsRKsWWQp_WprM,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJLRKQ_zkpBDsR2Ss9Ye4itMg,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJOUefPGkxBDsRLVNIHIf6eAw,3.35,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJp6hF5x4rBDsRl1Fk7DNCBUg,3.35,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ59WpP4UpBDsR5oYgTYmyhno,3.85,CO_VISITED
ChIJK_vW_PgqBDsRl61YBJHIHuY,ChIJ36JWOwC5BjsRugbLvK0JrnA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJq0u5QegpBDsRAjW5G91ajmk,10.25,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJA9XmEZaXBjsREmckXJgSs8g,4.0,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJSbdL6FwpBDsRe3ls0A6mwDI,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJs0Wor3DVBTsR3EUyE5eY0po,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJh_EnhcOABjsRHN91tNw1LuI,6.25,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJVwjgd1i0BzsRblc5epBLSdk,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ5U3FUsN6BzsRXLUT1A2krkE,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJYX7Kl4vtBDsR039NLAJ_YqA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJw7X27VwpBDsREcsa7LVsoOo,5.136,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ8YVwxCXWBTsRvT3uZ68XOd4,7.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJs-vSFNY3BDsR89RjoQRctKQ,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJpYX5oKS0BzsRCF-SFs2O4X4,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJr_DnasZDBDsRdHpzZHl96h0,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ1S7Asz1_BjsRHMPTvhPcsew,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJEcufPSnWBTsRxy-_bLmZmH8,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJp799eI9HBDsR3P-8VWdE1GY,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ4_X9FJh9BjsR_17bRtA6rsQ,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ3SL2-ywqBDsReqhmPpQ1N6Y,5.725,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJx3oBXj-HBjsRE_nhoTDm7QE,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJmx_yi8kHBzsR2s_M3Lsl5qY,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJITuH6jEoBDsRU0_yLDXVRqo,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJWf8oCTHWBTsRPiZtpzQjC0Q,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJA771Nu19BjsRu-mZnMyN80c,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ_9tz5U4qBDsRge10f2JIiNM,4.7,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJKxkbwjYqBDsRm9JusPV_SjQ,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJH0lvh7pfBDsR4JZ68aVoA5A,5.136,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJYYLr_vB_BjsRgDn7xtJVMDQ,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJGdrFgPSFBjsRhm_nL3wfsO8,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJQ1jykPgqBDsRWh_K8EP8SzM,4.25,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ308m0RKDBjsRZ0cQTKNjysU,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJzwJEEgjnBjsR0AN97RqwiyM,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ2eXb9TDWBTsRApB9tySLwcY,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJMQJVGvJDBDsRlDNht-TnmEc,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ____vx8uBDsRdy596_hZp7Y,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ695M_corBDsRnPDPpXIaNdY,5.537,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJJ329cx82BDsRg4-Ca4VCsmE,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ9dVwpNXlBjsRYDGYo7XkJsE,5.235,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJwW9191LmBjsRkZD5R5tjbhc,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJT0cJOkIvBDsRp3Dc1hZZjns,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJJ2IpcmrdBjsRiMBIP75mPrI,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJWdA66vGHBjsRhYoqWoO-3X0,5.1,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJWbtqLwArBDsRGyMHNLc54jA,5.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJM0QzRSjWBTsRnN8-I46qXuE,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ0xaj02V5BjsRnOSAKrKLr0c,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJR_7XweMrBDsR-Deh8t3QKaE,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJRYY_rQGBBjsRFzW_3wD1zIc,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJZ-zxuGY9BDsRrMy860z5NG8,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJK0NZsjHWBTsRmQc2zfFZbdw,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ03S4wKcqBDsR8SJ8qShQuVA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJjU74dBhdBDsRI5lqEHTos7M,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ6595L7OPBjsRpsrMEvpp2oM,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJNTlP4oYvBDsRzFjXuufmSLA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJxQpqzU5_BjsRqcYtZsnj2bA,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ55TLRMQpBDsR2NtNHVFpAbA,3.35,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ_TQF9R4VBDsRrCuTbflWOow,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJdxLncnIpBDsRVTR-LGvw5IE,5.457,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJdXZuOVN1BDsRo4MXhjggCPw,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJl59G2XAvBDsRItkS__oPRJw,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ681py5edBjsRbgFCDabz7qc,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJNd6V4hQpBDsRdin5ED4v_gk,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJa2HAxYaBBjsRLEYXjUoKnoo,3.85,CO_VISITED
ChIJS4UuXhkrBDsRolNUEQ3qPoI,ChIJ-a4Fh485BDsReE8HkiZ5qBg,3.85,CO_VISITED
