:START_ID(User),:END_ID(User),weight,:TYPE
rijas_galleria,adv_deepi_ashok,1.0,SIMILAR_USER
rijas_galleria,g_p_suresh_gopal_cabs_ngl,1.0,SIMILAR_USER
rijas_galleria,rajiv_kumar_velsamy,1.0,SIMILAR_USER
rijas_galleria,we_make_the_impossible_things,1.0,SIMILAR_USER
sarath_kumar_s,anu,1.0,SIMILAR_USER
sarath_kumar_s,g_t_g,1.0,SIMILAR_USER
sarath_kumar_s,ganesh_m,1.0,SIMILAR_USER
sarath_kumar_s,abey_johnsen,1.0,SIMILAR_USER
sarath_kumar_s,parvathy_r,1.0,SIMILAR_USER
sarath_kumar_s,sajikumar_js,1.0,SIMILAR_USER
sarath_kumar_s,sreehari_s,1.0,SIMILAR_USER
kannan_ramachandran,ramchandar_umasankar,1.0,SIMILAR_USER
kannan_ramachandran,smruthi_vinayak_rengan,1.0,SIMILAR_USER
kannan_ramachandran,srivenkatbabu_sinnasami,1.0,SIMILAR_USER
kannan_ramachandran,starlet_esther,1.0,SIMILAR_USER
ramchandar_umasankar,smruthi_vinayak_rengan,1.0,SIMILAR_USER
ramchandar_umasankar,srivenkatbabu_sinnasami,1.0,SIMILAR_USER
ramchandar_umasankar,starlet_esther,1.0,SIMILAR_USER
smruthi_vinayak_rengan,srivenkatbabu_sinnasami,1.0,SIMILAR_USER
smruthi_vinayak_rengan,starlet_esther,1.0,SIMILAR_USER
srivenkatbabu_sinnasami,starlet_esther,1.0,SIMILAR_USER
srivenkatbabu_sinnasami,kumaresan_lakshmanan,1.0,SIMILAR_USER
srivenkatbabu_sinnasami,shyam_sundar,1.0,SIMILAR_USER
srivenkatbabu_sinnasami,vinoth_kumar,1.0,SIMILAR_USER
srivenkatbabu_sinnasami,yuva_ranjitha,1.0,SIMILAR_USER
anu,g_t_g,1.0,SIMILAR_USER
anu,ganesh_m,1.0,SIMILAR_USER
g_t_g,ganesh_m,1.0,SIMILAR_USER
g_t_g,anfas_salim,1.0,SIMILAR_USER
g_t_g,anoop_kamal,1.0,SIMILAR_USER
g_t_g,dark_wizard,1.0,SIMILAR_USER
g_t_g,sree_kumar_a,1.0,SIMILAR_USER
ganesh_m,ajc,1.0,SIMILAR_USER
ganesh_m,roby_soni,1.0,SIMILAR_USER
ganesh_m,saroj,1.0,SIMILAR_USER
